contig	start	end	gene_Name	gene_ID	transcript_ID	len_My	len_Sp	unqC_My	unqC_Sp	biAlC_My	biAlC_Sp	mulC_My	mulC_Sp	totalC_My	totalC_Sp
2	134196	139961	-	AL2G10230	AL2G10230.t1	4665	4667	0	0	0	0	0	0	0	0
2	134196	134923	-	AL2G10230	AL2G10230.t2	560	560	0	0	0	0	0	0	0	0
2	140005	141791	-	AL2G10240	AL2G10240.t1	1260	1279	0	2	0	0	0	0	0	2
2	155501	158697	-	AL2G10250	AL2G10250.t1	2325	2326	4778	864	13554	13554	0	0	18332	14418
2	159792	161087	-	AL2G10260	AL2G10260.t1	947	937	18	152	32	36	0	0	50	188
2	161107	164447	-	AL2G10270	AL2G10270.t1	2810	2810	0	0	346	576	246	270	592	846
2	161107	164447	-	AL2G10270	AL2G10270.t2	2807	2807	0	4	346	576	246	270	592	850
2	167333	169367	RPN12a	AL2G10280	AL2G10280.t1	1096	1095	2322	1004	2444	2444	0	0	4766	3448
2	169492	171055	-	AL2G10290	AL2G10290.t1	941	942	1748	2274	228	228	0	0	1976	2502
2	171217	172647	-	AL2G10300	AL2G10300.t1	1420	1427	32	34	34	38	0	0	66	72
2	173003	173657	-	AL2G10310	AL2G10310.t1	652	655	282	316	52	100	0	0	334	416
2	174212	174726	-	AL2G10320	AL2G10320.t1	411	411	0	0	0	0	0	0	0	0
2	175345	177157	-	AL2G10330	AL2G10330.t1	1094	1099	0	0	0	0	0	0	0	0
2	177963	179737	-	AL2G10340	AL2G10340.t1	1550	1553	14	0	152	152	0	0	166	152
2	181012	182597	-	AL2G10350	AL2G10350.t1	1050	1050	0	0	48	48	0	0	48	48
2	183832	189354	-	AL2G10360	AL2G10360.t2	5431	5431	0	0	0	0	0	0	0	0
2	183832	185423	-	AL2G10360	AL2G10360.t1	1474	1474	0	0	0	0	0	0	0	0
2	197142	199570	CBL8	AL2G10370	AL2G10370.t2	935	935	0	0	4	6	8	8	12	14
2	197142	199570	CBL8	AL2G10370	AL2G10370.t1	962	962	0	0	4	6	8	8	12	14
2	202362	203266	-	AL2G10380	AL2G10380.t1	811	811	0	0	0	0	0	0	0	0
2	206982	209282	-	AL2G10390	AL2G10390.t1	2220	2220	370	484	494	510	16	16	880	1010
2	209982	211668	-	AL2G10400	AL2G10400.t1	1164	1164	326	140	690	690	4	4	1020	834
2	212621	215467	RHD1	AL2G10410	AL2G10410.t1	1440	1440	134	144	470	470	0	0	604	614
2	215567	218977	-	AL2G10420	AL2G10420.t1	2015	2015	30	118	780	780	0	0	810	898
2	220244	220707	-	AL2G10440	AL2G10440.t1	465	464	60	26	22	22	0	0	82	48
2	242432	247198	LACS3	AL2G10450	AL2G10450.t1	2335	2335	50	64	20	20	0	0	70	84
2	247465	251357	AtGH9C2	AL2G10460	AL2G10460.t1	2565	2567	466	1314	3166	3194	52	56	3684	4564
2	261783	263857	-	AL2G10470	AL2G10470.t1	1567	1570	1492	1364	474	586	4	10	1970	1960
2	279392	280958	-	AL2G10480	AL2G10480.t1	1567	1567	58	20	90	90	4	4	152	114
2	282444	283157	-	AL2G10490	AL2G10490.t1	714	712	4556	7012	8662	8662	0	0	13218	15674
2	283464	284137	-	AL2G10500	AL2G10500.t1	587	583	468	168	134	98	0	0	602	266
2	284924	286347	-	AL2G10510	AL2G10510.t2	822	822	0	0	68	100	324	332	392	432
2	284924	286347	-	AL2G10510	AL2G10510.t1	840	840	6	4	84	116	324	332	414	452
2	286596	288397	SEH1H	AL2G10520	AL2G10520.t1	1263	1246	612	154	720	720	0	0	1332	874
2	289152	289629	-	AL2G10530	AL2G10530.t1	483	479	0	0	0	0	0	0	0	0
2	291742	293511	-	AL2G10540	AL2G10540.t1	1449	1441	50	60	8	8	0	0	58	68
2	300295	301507	-	AL2G10550	AL2G10550.t1	927	932	2	0	0	0	0	0	2	0
2	312914	314255	-	AL2G10560	AL2G10560.t1	706	706	0	0	800	800	16	16	816	816
2	314990	316559	-	AL2G10570	AL2G10570.t1	817	817	0	0	6	6	0	0	6	6
2	316880	320265	-	AL2G10580	AL2G10580.t1	3390	3388	10	0	2	2	0	0	12	2
2	320440	323145	-	AL2G10590	AL2G10590.t1	949	951	0	0	0	0	44	44	44	44
2	320440	323145	-	AL2G10590	AL2G10590.t2	989	991	0	0	0	0	44	44	44	44
2	323645	333945	-	AL2G10600	AL2G10600.t1	2834	2826	0	0	0	0	0	0	0	0
2	323645	333945	-	AL2G10600	AL2G10600.t1	2834	2826	0	0	0	0	0	0	0	0
2	335404	338685	-	AL2G10610	AL2G10610.t1	2099	2117	1546	2334	62	42	0	0	1608	2376
2	339088	341775	-	AL2G10620	AL2G10620.t1	2083	2083	20	28	62	62	0	0	82	90
2	341887	343645	-	AL2G10630	AL2G10630.t1	1759	1759	6	18	10	10	0	0	16	28
2	341887	343645	-	AL2G10630	AL2G10630.t1	1759	1759	6	18	10	10	0	0	16	28
2	343701	346515	-	AL2G10640	AL2G10640.t1	2555	2554	8	0	18	18	0	0	26	18
2	347830	350077	-	AL2G10650	AL2G10650.t1	1518	1511	0	0	2	2	0	0	2	2
2	353080	354075	-	AL2G10660	AL2G10660.t1	744	744	0	0	0	0	0	0	0	0
2	354142	357725	-	AL2G10670	AL2G10670.t1	2685	2685	0	0	6	6	0	0	6	6
2	363010	364352	-	AL2G10680	AL2G10680.t1	1343	1332	0	0	0	0	0	0	0	0
2	364810	367223	NPR1	AL2G10690	AL2G10690.t1	2104	2103	842	934	456	456	0	0	1298	1390
2	367573	370485	-	AL2G10700	AL2G10700.t1	2727	2726	430	358	248	252	0	0	678	610
2	380162	383835	-	AL2G10710	AL2G10710.t1	2853	2850	140	62	126	126	0	0	266	188
2	386355	389575	-	AL2G10720	AL2G10720.t1	2827	2823	532	138	136	132	0	0	668	270
2	392066	392855	-	AL2G10730	AL2G10730.t1	793	790	12	0	0	0	0	0	12	0
2	395520	396800	-	AL2G10750	AL2G10750.t1	1281	1281	0	0	2	2	2	2	4	4
2	399895	403275	-	AL2G10760	AL2G10760.t1	1092	1092	0	0	2	2	0	0	2	2
2	399895	403275	-	AL2G10760	AL2G10760.t1	1092	1092	0	0	2	2	0	0	2	2
2	403718	405615	UBC28	AL2G10770	AL2G10770.t1	854	865	3614	2492	3088	3096	4	4	6706	5592
2	405790	406327	TOM7-2	AL2G10780	AL2G10780.t1	522	534	14	74	24	24	0	0	38	98
2	406330	408315	-	AL2G10790	AL2G10790.t1	1918	1916	4	2	4	4	0	0	8	6
2	409120	410777	VHA-E3	AL2G10800	AL2G10800.t1	962	962	140	250	28	28	0	0	168	278
2	411697	414195	-	AL2G10810	AL2G10810.t1	1224	1234	14	0	96	96	4	4	114	100
2	415960	417644	-	AL2G10820	AL2G10820.t1	1686	1678	1250	670	908	904	2	4	2160	1578
2	417671	418415	-	AL2G10830	AL2G10830.t1	502	504	18	8	202	202	0	0	220	210
2	418476	421355	-	AL2G10840	AL2G10840.t1	2171	2137	498	342	78	78	0	0	576	420
2	424620	427918	ATCHX16	AL2G10850	AL2G10850.t1	2674	2674	180	246	508	508	0	0	688	754
2	428324	429125	-	AL2G10860	AL2G10860.t1	802	798	226	256	120	120	0	0	346	376
2	436307	439155	-	AL2G10870	AL2G10870.t1	2551	2551	0	0	0	0	2	2	2	2
2	436307	439155	-	AL2G10870	AL2G10870.t1	2551	2551	0	0	0	0	2	2	2	2
2	440420	444084	-	AL2G10880	AL2G10880.t1	1321	1319	134	120	200	200	0	0	334	320
2	445910	449309	-	AL2G10890	AL2G10890.t1	2800	2798	1798	276	6814	6814	0	0	8612	7090
2	450100	450715	-	AL2G10900	AL2G10900.t1	490	490	0	0	654	654	0	0	654	654
2	452080	453031	-	AL2G10920	AL2G10920.t1	690	692	0	0	0	0	0	0	0	0
2	453249	457985	-	AL2G10930	AL2G10930.t2	4558	4558	0	0	0	0	6	6	6	6
2	453249	454105	-	AL2G10930	AL2G10930.t3	857	857	0	0	0	0	2	2	2	2
2	453705	457985	-	AL2G10930	AL2G10930.t1	4040	4040	0	0	0	0	4	4	4	4
2	458620	462525	-	AL2G10940	AL2G10940.t1	2438	2438	0	8	44	44	0	0	44	52
2	462740	463290	-	AL2G10950	AL2G10950.t1	347	347	0	0	0	0	0	0	0	0
2	463348	465815	-	AL2G10960	AL2G10960.t1	2258	2260	108	146	112	112	0	0	220	258
2	467247	468815	RTNLB3	AL2G10970	AL2G10970.t1	1093	1086	1656	898	4782	4690	144	32	6582	5620
2	471640	473310	-	AL2G10980	AL2G10980.t1	1560	1563	528	562	346	346	4	4	878	912
2	474591	475455	-	AL2G10990	AL2G10990.t1	865	865	6	2	22	22	0	0	28	24
2	478117	485215	ATRBOH F	AL2G11000	AL2G11000.t1	3671	3670	152	84	486	478	0	0	638	562
2	491706	495340	-	AL2G11010	AL2G11010.t1	2532	2532	6	0	454	488	446	446	906	934
2	491706	495340	-	AL2G11010	AL2G11010.t2	2526	2526	0	0	432	466	446	446	878	912
2	497205	499382	TOPP3	AL2G11020	AL2G11020.t1	1500	1503	952	1054	878	926	0	0	1830	1980
2	499445	501231	-	AL2G11030	AL2G11030.t1	1422	1422	0	0	0	0	0	0	0	0
2	502395	503794	-	AL2G11040	AL2G11040.t1	1237	1235	0	0	0	0	0	0	0	0
2	505050	505870	-	AL2G11050	AL2G11050.t1	844	821	2	0	0	0	0	0	2	0
2	506495	508016	-	AL2G11060	AL2G11060.t1	1247	1249	2	0	0	0	0	0	2	0
2	537980	539490	-	AL2G11100	AL2G11100.t1	1411	1423	0	0	0	0	0	0	0	0
2	541036	543090	WRKY56	AL2G11110	AL2G11110.t1	901	901	0	0	12	12	0	0	12	12
2	545195	547330	SPO11-2	AL2G11120	AL2G11120.t1	1246	1247	22	174	48	48	0	0	70	222
2	547340	550230	SPO11-2	AL2G11130	AL2G11130.t1	1434	1434	1032	1378	4132	4152	0	0	5164	5530
2	550495	552281	ISPF	AL2G11140	AL2G11140.t1	929	927	536	584	168	188	8	8	712	780
2	552426	553900	-	AL2G11150	AL2G11150.t1	555	555	0	0	14	14	0	0	14	14
2	555621	556590	-	AL2G11160	AL2G11160.t1	688	690	6	2	0	0	0	0	6	2
2	558476	562210	MDAR6	AL2G11170	AL2G11170.t1	1873	1869	114	166	4790	2518	5372	5360	10276	8044
2	558476	562210	MDAR6	AL2G11170	AL2G11170.t2	1774	1773	0	0	4790	2518	5372	5360	10162	7878
2	562862	564350	ROH1	AL2G11180	AL2G11180.t1	1489	1489	26	50	22	22	0	0	48	72
2	574945	577115	AtMYB103	AL2G11190	AL2G11190.t1	1635	1635	294	70	66	66	0	0	360	136
2	579865	581669	-	AL2G11200	AL2G11200.t1	1537	1537	284	0	114	114	0	0	398	114
2	581725	584374	-	AL2G11210	AL2G11210.t1	1753	1753	440	62	1138	1114	0	0	1578	1176
2	585435	588935	-	AL2G11220	AL2G11220.t1	3029	3025	0	0	2	2	0	0	2	2
2	589584	592180	DAL1	AL2G11230	AL2G11230.t1	1605	1606	968	680	232	232	0	0	1200	912
2	593255	597077	-	AL2G11240	AL2G11240.t1	3462	3464	132	48	36	36	0	0	168	84
2	597975	598796	-	AL2G11250	AL2G11250.t1	711	711	0	0	0	0	0	0	0	0
2	599975	604012	-	AL2G11260	AL2G11260.t1	3595	3595	42	8	166	166	0	0	208	174
2	608815	610922	-	AL2G11270	AL2G11270.t1	1161	1160	106	60	48	48	0	0	154	108
2	610976	613480	-	AL2G11280	AL2G11280.t1	2381	2372	386	416	706	710	4	4	1096	1130
2	615745	616999	-	AL2G11290	AL2G11290.t1	1111	1111	4	0	42	42	0	0	46	42
2	622935	623735	-	AL2G11300	AL2G11300.t1	799	801	6	4	604	604	0	0	610	608
2	630799	633120	-	AL2G11310	AL2G11310.t1	1179	1177	1180	602	2048	2044	20	20	3248	2666
2	636205	638445	-	AL2G11320	AL2G11320.t1	1607	1612	12	6	78	78	4	4	94	88
2	648195	654556	-	AL2G11330	AL2G11330.t1	3498	3488	214	140	1172	1172	0	0	1386	1312
2	662923	664491	UBC5	AL2G11340	AL2G11340.t1	950	950	0	0	1312	1312	0	0	1312	1312
2	664743	667460	IMP4	AL2G11360	AL2G11360.t1	1168	1149	374	360	400	400	16	16	790	776
2	667953	674858	-	AL2G11370	AL2G11370.t1	3236	3239	4562	2816	986	986	0	0	5548	3802
2	674861	678698	-	AL2G11380	AL2G11380.t1	3451	3528	340	330	122	122	0	0	462	452
2	678795	682328	-	AL2G11390	AL2G11390.t1	3087	3082	50	24	212	212	0	0	262	236
2	683981	685618	-	AL2G11400	AL2G11400.t1	1124	1124	0	0	0	0	0	0	0	0
2	699963	702469	-	AL2G11410	AL2G11410.t1	2361	2361	22	14	0	0	4	2	26	16
2	702958	704838	-	AL2G11420	AL2G11420.t1	844	844	0	0	0	0	0	0	0	0
2	702958	704838	-	AL2G11420	AL2G11420.t1	844	844	0	0	0	0	0	0	0	0
2	708123	708710	-	AL2G11440	AL2G11440.t1	435	435	0	0	0	0	0	0	0	0
2	712623	714397	-	AL2G11450	AL2G11450.t2	1593	1591	0	0	244	204	24	24	268	228
2	712623	714397	-	AL2G11450	AL2G11450.t1	1596	1594	0	0	244	204	24	24	268	228
2	716113	717908	-	AL2G11470	AL2G11470.t1	1009	1009	12	0	16	16	0	0	28	16
2	717959	722028	-	AL2G11480	AL2G11480.t1	1453	1448	2	2	10	10	0	0	12	12
2	728983	731058	-	AL2G11490	AL2G11490.t1	2067	2076	8	4	68	68	0	0	76	72
2	734843	735785	CYP86A7	AL2G11500	AL2G11500.t1	951	951	0	0	110	110	0	0	110	110
2	735858	738818	CYP86A7	AL2G11510	AL2G11510.t1	2185	2185	0	0	0	0	0	0	0	0
2	738923	740062	CYP86A7	AL2G11520	AL2G11520.t1	1144	1140	2	0	170	326	110	138	282	464
2	739079	740062	CYP86A7	AL2G11520	AL2G11520.t2	988	984	0	0	156	312	110	138	266	450
2	742393	747707	EMB71	AL2G11530	AL2G11530.t1	3675	3672	614	566	1982	1982	4	4	2600	2552
2	747977	751968	ATSPPL2	AL2G11540	AL2G11540.t1	2023	2023	718	1042	2656	2656	8	8	3382	3706
2	752638	755928	ATMURE	AL2G11550	AL2G11550.t1	2691	2675	408	342	450	450	0	0	858	792
2	765923	769362	-	AL2G11560	AL2G11560.t1	2736	2735	706	638	310	310	0	0	1016	948
2	769643	772868	-	AL2G11570	AL2G11570.t1	1896	1896	340	184	968	968	4	4	1312	1156
2	774018	777438	EGL3	AL2G11580	AL2G11580.t1	2114	2114	258	278	164	164	0	0	422	442
2	783493	786394	-	AL2G11590	AL2G11590.t1	1285	1285	0	0	12	12	70	70	82	82
2	789723	796368	-	AL2G11600	AL2G11600.t1	3659	3658	2	0	500	392	548	528	1050	920
2	789723	796368	-	AL2G11600	AL2G11600.t2	3662	3661	6	0	500	392	548	528	1054	920
2	796813	797808	-	AL2G11610	AL2G11610.t1	896	896	6	2	42	42	0	0	48	44
2	798053	800294	-	AL2G11620	AL2G11620.t1	1300	1300	454	142	74	50	8	0	536	192
2	800575	801958	-	AL2G11630	AL2G11630.t1	1284	1292	0	0	0	0	0	0	0	0
2	802657	803928	-	AL2G11640	AL2G11640.t1	1167	1164	0	0	0	0	0	0	0	0
2	807214	808518	-	AL2G11650	AL2G11650.t1	1062	1062	0	0	0	0	0	0	0	0
2	810966	812258	-	AL2G11660	AL2G11660.t1	989	997	0	0	0	0	0	0	0	0
2	812587	815518	-	AL2G11670	AL2G11670.t1	2438	2434	366	492	1042	1042	12	6	1420	1540
2	812587	815518	-	AL2G11670	AL2G11670.t1	2438	2434	366	492	1042	1042	12	6	1420	1540
2	815213	820318	-	AL2G11680	AL2G11680.t1	1896	1889	0	0	56	322	40	34	96	356
2	815213	820318	-	AL2G11680	AL2G11680.t1	1896	1889	0	0	56	322	40	34	96	356
2	815213	820318	-	AL2G11680	AL2G11680.t1	1896	1889	0	0	56	322	40	34	96	356
2	815213	820318	-	AL2G11680	AL2G11680.t2	1902	1895	0	0	56	322	40	34	96	356
2	815213	820318	-	AL2G11680	AL2G11680.t2	1902	1895	0	0	56	322	40	34	96	356
2	815213	820318	-	AL2G11680	AL2G11680.t2	1902	1895	0	0	56	322	40	34	96	356
2	821603	822036	-	AL2G11690	AL2G11690.t1	338	337	0	0	0	0	0	0	0	0
2	822163	824208	-	AL2G11700	AL2G11700.t1	1855	1859	46	28	32	32	0	0	78	60
2	824981	828268	-	AL2G11720	AL2G11720.t1	2318	2325	976	1050	1784	1792	0	0	2760	2842
2	837855	846489	-	AL2G11730	AL2G11730.t1	4786	4785	0	4	342	244	1014	1014	1356	1262
2	837855	846489	-	AL2G11730	AL2G11730.t2	4789	4788	0	0	342	244	1014	1014	1356	1258
2	848415	851136	-	AL2G11740	AL2G11740.t1	1939	1939	274	80	842	842	28	28	1144	950
2	851505	854219	-	AL2G11750	AL2G11750.t1	1767	1759	592	466	884	884	0	0	1476	1350
2	854478	855950	GPX8	AL2G11760	AL2G11760.t1	726	726	0	0	762	762	0	0	762	762
2	856101	858170	RHS8	AL2G11770	AL2G11770.t1	2070	2070	0	0	6	6	0	0	6	6
2	859634	861250	-	AL2G11780	AL2G11780.t1	1452	1452	132	2	94	94	0	0	226	96
2	862141	866100	-	AL2G11790	AL2G11790.t1	3263	3264	974	1112	358	358	0	0	1332	1470
2	862141	866100	HMA5	AL2G11790	AL2G11790.t1	3263	3264	974	1112	358	358	0	0	1332	1470
2	872507	876790	-	AL2G11800	AL2G11800.t1	2724	2725	362	384	2256	2264	12	12	2630	2660
2	884362	887580	-	AL2G11810	AL2G11810.t1	2024	2028	608	382	1288	1288	4	4	1900	1674
2	892535	894018	-	AL2G11820	AL2G11820.t1	876	876	0	0	2	2	0	0	2	2
2	894027	896200	-	AL2G11830	AL2G11830.t1	2086	2078	22	52	96	96	8	6	126	154
2	896625	897463	-	AL2G11840	AL2G11840.t1	854	839	808	866	136	136	0	0	944	1002
2	911167	916110	-	AL2G11850	AL2G11850.t1	3472	3474	48	0	770	134	360	356	1178	490
2	911167	916110	-	AL2G11850	AL2G11850.t2	3469	3471	0	0	644	8	360	356	1004	364
2	931745	936196	-	AL2G11880	AL2G11880.t1	1908	1908	0	0	392	392	2370	2370	2762	2762
2	931745	936196	-	AL2G11880	AL2G11880.t1	1908	1908	0	0	392	392	2370	2370	2762	2762
2	937045	939127	-	AL2G11890	AL2G11890.t1	766	766	0	0	2	2	0	0	2	2
2	942485	944461	-	AL2G11900	AL2G11900.t1	941	941	0	0	0	0	0	0	0	0
2	951595	953813	-	AL2G11930	AL2G11930.t1	1354	1354	0	0	1354	1354	1106	1106	2460	2460
2	954373	957280	-	AL2G11940	AL2G11940.t1	715	715	0	0	4	4	4	4	8	8
2	957465	959180	-	AL2G11950	AL2G11950.t1	930	930	8	0	768	768	194	194	970	962
2	959388	960950	-	AL2G11960	AL2G11960.t1	1369	1369	2	0	4	4	0	0	6	4
2	964315	970532	-	AL2G11970	AL2G11970.t1	2040	2040	0	0	0	0	4520	4520	4520	4520
2	964315	970532	-	AL2G11970	AL2G11970.t1	2040	2040	0	0	0	0	4520	4520	4520	4520
2	964315	970532	-	AL2G11970	AL2G11970.t2	2040	2040	0	0	0	0	4520	4520	4520	4520
2	964315	970532	-	AL2G11970	AL2G11970.t2	2040	2040	0	0	0	0	4520	4520	4520	4520
2	970885	974336	-	AL2G11980	AL2G11980.t2	2583	2583	0	0	50	0	920	920	970	920
2	970885	974336	-	AL2G11980	AL2G11980.t1	2580	2580	0	0	50	0	920	920	970	920
2	983485	986140	-	AL2G11990	AL2G11990.t1	1136	1136	0	0	4	4	1120	1120	1124	1124
2	983485	986140	-	AL2G11990	AL2G11990.t1	1136	1136	0	0	4	4	1120	1120	1124	1124
2	1001215	1004574	-	AL2G12020	AL2G12020.t1	2520	2520	38	0	388	386	122	130	548	516
2	1007635	1007980	CLE14	AL2G12030	AL2G12030.t1	346	346	16	0	6	6	0	0	22	6
2	1009375	1011880	-	AL2G12040	AL2G12040.t1	1679	1679	0	0	142	60	634	568	776	628
2	1009375	1011880	-	AL2G12040	AL2G12040.t2	1799	1799	0	0	200	118	634	568	834	686
2	1012265	1014404	-	AL2G12050	AL2G12050.t1	1539	1539	0	0	858	858	0	0	858	858
2	1019715	1021096	-	AL2G12060	AL2G12060.t1	867	867	0	0	236	236	4	4	240	240
2	1022817	1024360	-	AL2G12070	AL2G12070.t1	840	840	0	0	452	452	0	0	452	452
2	1029532	1032633	-	AL2G12080	AL2G12080.t1	2861	2856	202	192	940	866	2846	2846	3988	3904
2	1031252	1032717	-	AL2G12100	AL2G12100.t1	1307	1302	0	0	1438	1364	2850	2850	4288	4214
2	1032982	1035236	-	AL2G12110	AL2G12110.t1	1690	1690	90	58	112	114	32	106	234	278
2	1041882	1043818	-	AL2G12120	AL2G12120.t1	813	813	0	0	118	118	126	126	244	244
2	1044752	1045204	-	AL2G12130	AL2G12130.t1	453	453	0	0	60	60	0	0	60	60
2	1046522	1049178	-	AL2G12140	AL2G12140.t1	1810	1801	248	88	388	388	408	264	1044	740
2	1054471	1056517	-	AL2G12150	AL2G12150.t1	1867	1866	102	4	148	148	10	4	260	156
2	1056650	1058237	-	AL2G12160	AL2G12160.t1	812	815	784	422	146	146	0	4	930	572
2	1076360	1081087	-	AL2G12170	AL2G12170.t1	4208	4195	112	86	18	18	0	0	130	104
2	1081862	1084862	-	AL2G12180	AL2G12180.t1	2161	2161	128	22	64	64	10	10	202	96
2	1085362	1086798	-	AL2G12190	AL2G12190.t1	584	584	0	0	0	0	4	4	4	4
2	1089017	1090117	-	AL2G12200	AL2G12200.t1	684	769	0	0	0	0	0	0	0	0
2	1090742	1095241	-	AL2G12210	AL2G12210.t1	1248	1252	0	0	0	0	0	0	0	0
2	1096962	1098506	-	AL2G12220	AL2G12220.t1	814	814	0	0	0	0	1620	1620	1620	1620
2	1096962	1098506	-	AL2G12220	AL2G12220.t2	967	967	0	0	166	166	1908	1908	2074	2074
2	1098772	1105889	-	AL2G12230	AL2G12230.t2	1281	1281	0	0	136	0	786	778	922	778
2	1098772	1105889	-	AL2G12230	AL2G12230.t1	1341	1341	0	0	138	2	784	776	922	778
2	1106582	1108261	-	AL2G12240	AL2G12240.t1	435	434	0	0	0	0	0	0	0	0
2	1112722	1114698	-	AL2G12270	AL2G12270.t1	809	808	0	0	2	2	0	0	2	2
2	1120052	1121716	-	AL2G12280	AL2G12280.t1	887	887	0	0	56	56	0	0	56	56
2	1123372	1125497	-	AL2G12290	AL2G12290.t1	902	905	0	0	0	0	0	0	0	0
2	1132002	1133392	-	AL2G12300	AL2G12300.t1	866	866	574	2	1394	1390	30	30	1998	1422
2	1133403	1136827	-	AL2G12310	AL2G12310.t1	1236	1236	0	0	0	0	0	0	0	0
2	1141754	1143337	-	AL2G12320	AL2G12320.t1	1070	1070	0	0	6	6	22	30	28	36
2	1144152	1146524	UGE3	AL2G12330	AL2G12330.t1	1395	1403	218	194	370	366	0	0	588	560
2	1146557	1148537	-	AL2G12340	AL2G12340.t1	1590	1590	748	678	114	114	8	8	870	800
2	1149492	1151570	RFC2	AL2G12350	AL2G12350.t1	1302	1302	176	276	1148	1148	0	0	1324	1424
2	1151666	1153147	-	AL2G12360	AL2G12360.t1	1232	1232	0	0	0	0	0	0	0	0
2	1155242	1156857	-	AL2G12370	AL2G12370.t1	1380	1380	14	0	24	24	0	0	38	24
2	1158515	1160757	-	AL2G12380	AL2G12380.t1	2048	2054	112	84	18	18	14	14	144	116
2	1162272	1164317	ATRBL2	AL2G12390	AL2G12390.t1	1361	1361	4	518	1388	1396	46	46	1438	1960
2	1164501	1169797	-	AL2G12400	AL2G12400.t1	4028	4027	0	0	0	0	4	4	4	4
2	1164501	1169797	-	AL2G12400	AL2G12400.t1	4028	4027	0	0	0	0	4	4	4	4
2	1170413	1173787	-	AL2G12410	AL2G12410.t1	1859	1859	2	0	1666	1666	16	16	1684	1682
2	1175227	1178487	-	AL2G12420	AL2G12420.t1	895	907	24	26	20	20	0	0	44	46
2	1175227	1178487	-	AL2G12420	AL2G12420.t1	895	907	24	26	20	20	0	0	44	46
2	1178592	1181018	-	AL2G12430	AL2G12430.t1	2424	2427	310	174	900	892	12	12	1222	1078
2	1186386	1189123	-	AL2G12440	AL2G12440.t1	1050	1049	64	0	394	394	8	8	466	402
2	1192188	1194339	AtPP2-A11	AL2G12450	AL2G12450.t1	1367	1372	300	156	644	644	0	0	944	800
2	1199518	1204814	-	AL2G12460	AL2G12460.t1	2868	2824	66	66	62	60	26	22	154	148
2	1205168	1207612	-	AL2G12470	AL2G12470.t1	2445	2445	82	178	260	262	78	80	420	520
2	1207888	1209835	-	AL2G12480	AL2G12480.t1	1638	1638	0	2	2	2	0	0	2	4
2	1210428	1211204	-	AL2G12490	AL2G12490.t1	700	700	0	0	2	2	0	0	2	2
2	1211328	1219253	-	AL2G12500	AL2G12500.t1	3322	3312	22	72	162	158	54	96	238	326
2	1219318	1220842	-	AL2G12510	AL2G12510.t1	1123	1176	34	40	52	56	0	0	86	96
2	1226418	1228817	-	AL2G12540	AL2G12540.t1	1597	1596	46	142	590	594	4	4	640	740
2	1233375	1234403	-	AL2G12550	AL2G12550.t1	1029	1029	0	0	66	66	0	0	66	66
