Gene stable ID	Gene name
AT5G14495	
AT1G57370	
AT1G57480	
AT4G03135	
AT2G35220	
ATMG09450	
AT3G02315	
AT1G56980	
AT1G70050	
AT3G30345	
AT5G66568	
AT1G28730	
ATMG00420	TRNS.3
AT4G25435	
AT3G12585	
AT3G52285	
AT3G18815	
AT5G07625	
AT1G45246	
AT4G16475	
AT1G08870	
AT3G15585	
AT1G56830	
AT1G73900	
AT4G39615	
AT4G24025	
AT1G07760	
AT5G56745	
AT1G57140	
AT4G31695	
AT1G22320	
AT5G59945	
AT1G16450	
AT1G59880	
AT1G28820	
AT1G49690	
AT1G57060	
AT1G63510	
AT5G15815	
AT1G68950	
AT1G28900	
ATCG01290	TRNI.4
AT4G39195	
AT1G57300	
AT2G15950	
ATCG00060	TRNQ
AT5G63145	
AT2G36510	
AT4G28915	
AT2G25400	
AT1G45240	
AT5G11475	
AT1G74570	
AT5G23665	
AT2G02600	
AT2G33660	
ATMG00340	TRNY.1
AT5G53487	
AT1G01870	
AT5G02385	
AT4G31075	
AT4G32475	
AT3G25715	
AT2G07754	
AT1G79240	
AT1G30430	
AT1G28950	
ATMG00380	TRNN
AT5G66535	
AT4G11216	
ATCG01200	TRNI.3
AT5G39535	
AT5G41605	
AT2G07794	
AT5G66755	
AT4G39865	
AT5G59395	
AT1G26430	
AT1G13840	
ATCG00990	TRNN.1
AT1G21420	
AT5G03445	
AT2G30190	
AT4G20115	
AT1G57500	
AT4G11177	
AT5G46325	
AT1G57120	
AT5G56365	
AT3G07025	
AT1G11640	
AT5G20856	
AT3G12385	
AT3G61545	
AT3G51135	
ATMG00100	TRNK.1
AT1G79290	
AT2G36860	
AT2G07766	
AT2G33140	
AT5G05795	
AT1G15450	
AT1G60840	
AT3G61755	
ATCG00090	TRNS.1
AT2G36520	
AT5G09755	
AT4G02055	
AT2G07759	
AT4G18255	
AT5G50805	
AT1G50070	
AT1G57260	
AT1G57420	
AT4G16105	
AT5G08075	
AT2G33900	
AT2G33940	
AT3G48515	
ATCG00310	TRNG.2
AT5G65535	
AT4G17765	
AT4G10815	
AT1G53410	
AT1G57410	
AT4G26375	
AT5G52815	
AT5G39895	
AT4G36245	
AT5G03452	
AT1G56770	
AT4G13265	
AT1G28860	
ATCG00980	TRNR.2
AT5G60963	
AT1G32620	
AT2G33930	
AT3G63006	
AT5G21378	
AT2G33950	
AT3G10035	
AT1G65830	
AT3G50505	
AT1G07580	
AT4G11355	
AT1G57510	
AT3G11285	
AT2G33650	
AT5G48675	
AT1G57100	
AT5G54865	
AT3G58035	
ATMG09950	
AT3G10015	
AT1G71700	
AT2G30180	
AT5G32017	
AT2G03700	
AT2G07753	
AT2G18310	
AT5G64505	
AT1G30830	
AT1G52350	
AT4G12115	
AT5G18755	
AT5G55055	
AT3G58165	
AT2G42020	
AT3G06665	
AT1G56740	
AT1G57150	
AT1G13240	
ATCG00460	TRNM
AT1G57030	
ATCG00230	TRND
AT1G57400	
AT2G07765	
ATMG00360	TRNC
AT3G53775	
AT3G13223	
AT5G44283	
AT4G08345	
AT1G77190	
AT5G06685	
AT3G02715	
AT4G12405	
AT1G21800	
AT5G48835	
AT4G12065	
AT1G57390	
AT1G06480	
AT3G29095	
AT1G03515	
AT1G42120	
AT5G64855	
AT4G27885	
AT5G03705	
AT3G61105	
AT2G33970	
AT3G49925	
AT2G33890	
AT4G28362	
ATMG00190	TRNG
AT1G28870	
AT3G55735	
AT3G61825	
AT1G56890	
AT1G12590	
AT3G53965	
AT1G69130	
AT1G79980	
AT1G57310	
AT4G31895	
AT2G27560	
ATMG01340	TRNM.2
AT1G57160	
AT1G57470	
AT1G13720	
AT1G57080	
ATCG00940	TRNA.1
AT1G28910	
AT1G56850	
AT1G56960	
AT1G56730	
AT1G28980	
AT1G56950	
AT5G10235	
AT1G57290	
AT5G57885	
AT3G46875	
AT1G56780	
AT1G28780	
AT1G20250	
AT5G09655	
AT5G15805	
AT1G33370	
AT1G68970	
AT4G32265	
AT4G34035	
AT1G17670	
AT1G08240	
AT5G05945	
AT2G36600	
AT1G01270	
AT1G45242	
AT3G09585	
AT1G28830	
AT1G56920	
AT3G45935	
AT1G20040	
AT5G64735	
AT5G54375	
AT1G15650	
AT2G36140	
AT3G52765	
AT1G31110	
AT1G50100	
AT3G55734	MIR393B
AT3G07065	
AT2G08015	
AT1G06653	
AT4G27765	MIR828A
AT5G04935	
AT3G26812	MIR169I
AT1G07867	
AT1G06643	
AT1G48267	MIR161
AT5G41905	MIR166E
AT2G03445	MIR398A
AT1G18075	MIR159B
AT1G08287	
AT2G05615	
AT1G35501	MIR773A
AT1G21202	MIR781A
AT2G47275	MIR403
AT5G04995	
AT3G09515	
AT5G41663	MIR319B
AT5G04975	
AT1G60072	MIR859A
AT1G26975	MIR395B
AT1G04423	
AT4G04365	
AT2G04935	
AT5G59505	MIR172E
AT3G63375	MIR167B
AT1G20375	MIR394A
AT3G04655	
AT2G22496	MIR779A
AT1G14071	MIR830A
AT2G07915	
AT4G05800	
AT1G07727	
AT3G06595	
AT2G02741	MIR840A
AT4G04825	
AT1G01183	MIR165A
AT3G48057	MIR843A
AT1G67195	MIR414
AT3G18895	MIR418
AT1G52185	MIR406
AT5G24825	MIR169B
AT4G10345	MIR832A
AT1G08597	
AT1G32713	MIR829A
AT4G08116	MIR401
AT5G04275	MIR172B
AT2G22668	MIR405A
AT1G77235	MIR402
AT1G19464	MIR864A
AT3G23326	MIR853A
AT2G46685	MIR166A
AT3G51375	MIR171A
AT2G09150	
AT5G06105	
AT4G06915	
AT5G04955	
AT1G69795	MIR395E
AT4G05415	
AT3G26813	MIR169J
AT1G09817	
AT1G06647	
AT5G02035	
AT5G03305	
AT5G06175	
AT3G08150	
AT5G10945	MIR156D
AT5G07055	
AT1G78206	MIR775A
AT4G13564	MIR841A
AT2G46255	MIR159C
AT5G01915	
AT3G23125	MIR173
AT4G31877	MIR156C
AT5G01735	
AT1G62355	MIR413
AT2G40805	MIR319C
AT5G04915	
AT5G14565	MIR398C
AT4G23713	JAW
AT5G14545	MIR398B
AT1G70645	MIR777A
AT1G05637	
AT5G04965	
AT3G06445	
AT5G07655	
AT2G24103	MIR831A
AT1G07243	
AT3G26816	MIR169L
AT3G04765	MIR167C
AT3G55512	MIR172D
AT2G38325	MIR390A
AT1G08157	
AT1G09213	
AT3G03235	
AT1G61732	MIR776A
AT5G55835	MIR156H
AT5G26147	MIR156F
AT4G21595	MIR169G
AT3G03255	
AT4G03445	MIR447A
AT5G07965	
AT3G26819	MIR169N
AT2G08235	
AT1G32582	MIR400
AT5G39635	MIR169C
AT4G07080	
AT2G09995	
AT1G19371	MIR169H
AT1G07137	
AT5G40384	MIR866A
AT5G11977	MIR156E
AT2G10606	MIR396A
AT2G39885	MIR393A
AT2G05415	
AT4G08335	
AT2G06665	
AT1G04393	
AT4G05925	
AT5G03145	
AT5G07075	
AT5G39693	MIR869A
AT1G18879	MIR837A
AT4G09735	
AT1G07051	MIR847A
AT4G05105	MIR397A
AT5G26038	MIR860A
AT3G53016	MIR851A
AT1G78478	MIR833A
AT4G23387	MIR845A
AT3G07515	
AT3G18217	MIR157C
AT5G08255	
AT1G08303	
AT1G61224	MIR842A
AT4G00885	MIR165B
AT2G16145	MIR416
AT3G48201	MIR861A
AT3G07095	
AT4G03039	MIR826A
AT5G62848	MIR420
AT5G52797	MIR870A
AT5G05505	
AT2G39175	MIR160A
AT1G60073	MIR774A
AT5G08210	MIR834A
AT4G04125	
AT1G06903	
AT3G03245	
AT2G07910	
AT2G08275	
AT5G66045	MIR170
AT4G06260	
AT3G44444	MIR849A
AT5G62162	MIR399C
AT2G47585	MIR164A
AT2G34208	MIR399F
AT1G07633	
AT1G11735	MIR171B
AT5G08800	
AT1G32992	MIR856A
AT1G06597	
AT4G32445	MIR419
AT2G08555	
AT2G07195	
AT2G47015	MIR408
AT5G46845	MIR160C
AT5G04415	
AT3G11435	MIR172C
AT1G07283	
AT3G05515	
AT2G34204	MIR399E
AT5G01747	MIR164B
AT4G09925	
AT2G41616	MIR778A
AT4G13493	MIR850A
AT3G10745	MIR158A
AT1G71002	MIR858A
AT5G45307	MIR168B
AT5G23065	MIR162B
AT2G28056	MIR172A
AT5G15833	MIR865A
AT3G26815	MIR169K
AT5G05005	
AT5G05185	
AT3G13405	MIR169A
AT3G13724	MIR823A
AT5G03425	
AT4G23375	MIR845B
AT5G50717	MIR405B
AT5G03475	
AT1G04027	
AT1G04993	
AT5G01755	
AT4G05930	
AT5G03225	
AT1G26985	MIR395C
AT1G55591	MIR158B
AT1G66783	MIR157A
AT1G53687	MIR169E
AT4G13554	MIR857A
AT2G03855	
AT2G07895	
AT1G08783	
AT1G08337	
AT1G66795	MIR157B
AT2G09340	
AT5G35407	MIR396B
AT5G08185	MIR162A
AT2G25171	MIR862A
AT3G53015	MIR771A
AT3G09285	
AT3G07695	
AT3G61897	MIR166B
AT1G26973	MIR395A
AT1G67481	MIR839A
AT5G08925	
AT5G03265	
AT2G09670	
AT3G26818	MIR169M
AT4G07000	
AT1G07357	
AT5G13887	MIR848A
AT4G05508	MIR405D
AT4G05855	
AT3G03625	
AT3G09615	
AT1G76062	MIR835A
AT1G01046	MIR838A
AT1G29265	MIR399A
AT3G07685	
AT5G58465	MIR390B
AT1G62035	MIR171C
AT2G19425	MIR156G
AT1G08793	
AT1G09687	
AT4G07100	
AT2G25011	MIR836A
AT5G60408	MIR391
AT2G07315	
AT2G08855	
AT5G06605	
AT5G04255	
AT1G61226	MIR846A
AT4G06865	
AT1G08343	
AT1G63005	MIR399B
AT1G69792	MIR395D
AT1G31358	MIR404
AT1G66725	MIR163
AT3G06345	
AT3G05985	
AT1G53683	MIR169D
AT4G05860	
AT5G27807	MIR164C
AT1G09473	
AT1G12294	MIR472A
AT4G24415	MIR824A
AT4G17788	MIR160B
AT5G07065	
AT4G06110	
AT4G14811	MIR780A
AT5G05035	
AT4G05305	
AT2G23347	MIR844A
AT3G59884	MIR827A
AT5G43603	MIR166F
AT5G05315	
AT1G31173	MIR167D
AT2G07205	
AT1G69797	MIR395F
AT1G06623	
AT4G14504	MIR852A
AT1G73687	MIR159A
AT4G07005	
AT5G63715	MIR166G
AT4G06075	
AT1G08053	
AT2G09120	
AT4G04095	
AT4G05455	
AT2G26211	MIR825A
AT2G09080	
AT4G04835	
AT2G25095	MIR156A
AT2G08035	
AT1G60025	MIR426
AT1G08163	
AT2G05815	
AT5G08717	MIR166D
AT4G13494	MIR863A
AT5G03552	MIR822A
AT1G07613	
AT1G05627	
AT1G48742	MIR157D
AT3G22886	MIR167A
AT4G03438	MIR447C
AT3G08285	
AT5G08712	MIR166C
AT2G32273	MIR417
AT1G06523	
AT4G30972	MIR156B
AT5G04145	
AT3G14385	MIR169F
AT4G06130	
AT4G19395	MIR168A
AT5G05915	
AT2G32698	MIR407
AT3G18827	MIR868A
AT5G04985	
AT2G05605	
AT4G13555	MIR397B
AT5G07875	
AT1G08813	
AT5G01745	
AT3G07755	
AT4G03455	MIR447B
AT4G21362	MIR867A
AT1G76135	MIR394B
AT2G34202	MIR399D
AT4G07565	
AT2G05455	
AT3G47347	
AT4G06245	
AT1G03502	
AT2G08390	
AT3G02795	
AT1G04267	
AT5G01785	
AT4G05055	
AT5G06565	
AT5G08865	
AT4G06240	
AT3G03415	
AT2G06855	
AT5G05375	
AT4G02555	
AT4G39366	
AT2G07615	
AT5G01495	
AT1G06033	
AT5G51174	SNOR30
AT5G09130	
AT5G44286	
AT1G06467	
AT5G02675	
AT4G07625	
AT3G24615	
AT1G06277	
AT3G02725	
AT4G04475	
AT1G06237	
AT3G08275	
AT4G06255	
AT1G06463	
AT5G52471	U60.1F
AT2G35387	
AT4G06015	
AT3G05335	
AT5G02315	
AT5G08805	
AT5G58595	
AT5G06305	
AT1G07903	
AT3G50825	
AT4G08155	
AT2G08760	
AT4G26365	
AT3G08165	
AT4G08235	
AT1G19376	
AT5G06835	
AT2G20723	
AT3G02205	
AT3G07725	
AT3G24614	
AT1G08937	
AT1G08107	
AT1G05563	
AT4G04485	
AT3G05355	
AT3G09865	
AT3G05715	
AT1G06253	
AT5G02325	
AT1G07593	
AT4G08625	
AT2G08585	
AT1G04227	
AT1G06673	
AT1G08643	
AT1G05247	
AT2G43139	
AT1G09883	
AT1G04527	
AT1G08327	
AT5G08850	
AT5G09020	
AT1G04197	
AT5G08860	
AT2G17295	
AT3G02045	
AT4G05045	
AT2G43138	
AT5G02295	
AT4G13245	
AT4G06315	
AT5G09000	
AT5G53902	U3B
AT1G20015	
AT1G08353	
AT5G09515	
AT4G05048	U49.1
AT1G32385	
AT5G07725	
AT4G08325	
AT5G66564	
AT5G00755	
AT1G09333	
AT2G08725	
AT1G74453	
AT2G35747	
AT3G01155	
AT2G08580	
AT1G04193	
AT3G02385	
AT4G06305	
AT4G06250	
AT5G08515	
AT5G04945	
AT1G06233	
AT1G06453	
AT3G13525	
AT1G26233	SNOR95
AT5G07105	
AT1G09877	
AT1G05917	
AT5G66567	
AT4G03915	
AT2G09815	
AT1G07487	
AT3G27865	
AT5G09005	
AT4G09475	
AT1G09873	
AT1G12015	
AT2G35384	
AT1G05433	
AT1G09533	
AT5G54075	U3D
AT4G39364	
AT4G08165	
AT5G13225	
AT2G20722	
AT2G08755	
AT5G02305	
AT4G39361	
AT1G04273	
AT4G04465	
AT1G08113	
AT2G05765	
AT3G04165	
AT1G06457	
AT1G04547	
AT3G03445	
AT1G04217	
AT2G05565	
AT2G35742	
AT1G06273	
AT2G08905	
AT1G74456	
AT1G75163	
AT2G09460	
AT3G21805	
AT3G01313	
AT5G07095	
AT1G07957	
AT2G08770	
AT5G02665	
AT5G10572	SNOR77
AT3G14475	
AT3G24612	
AT1G08117	
AT4G09845	
AT3G01145	
AT4G25631	U60.2F
AT2G43141	
AT2G08375	
AT1G05423	
AT5G02915	
AT3G08485	
AT5G01515	
AT3G03425	
AT5G01195	
AT5G05385	
AT1G06243	
AT3G02435	
AT3G05325	
AT1G04213	
AT5G41471	SNOR108
AT1G75166	
AT4G03295	
AT1G07393	
AT5G00760	
AT3G02445	
AT2G09685	
AT3G00985	
AT4G04205	
AT5G01505	
AT2G07605	
AT1G05417	
AT3G09225	
AT1G06283	
AT4G06310	
AT1G06247	
AT4G06320	
AT5G00765	
AT5G04425	
AT2G08860	
AT4G39363	
AT1G03743	
AT1G07897	
AT2G08370	
AT2G08900	
AT2G08910	
AT2G43137	
AT5G02575	
AT1G09467	
AT4G08615	
AT1G04277	
AT1G04223	
AT1G06397	
AT5G00750	
AT1G19373	
AT2G04955	
AT1G06263	
AT3G01316	
AT1G08347	
AT3G58193	
AT5G09495	
AT1G04187	
AT3G04985	
AT5G01165	
AT1G03506	
AT3G58196	
AT3G03175	
AT1G06667	
AT1G03746	
AT3G08210	
AT1G05427	
AT4G15258	SNOR37-2
AT1G08123	
AT2G35744	
AT2G08765	
AT3G04175	
AT3G07735	
AT2G09690	
AT4G07635	
AT1G06087	
AT5G01145	
AT5G06825	
AT2G09695	
AT4G07075	
AT3G04155	
AT2G09705	
AT3G47342	
AT4G03925	
AT5G04545	
AT2G20721	
AT1G07702	
AT5G08525	
AT1G05997	
AT1G03935	
AT3G03585	
AT3G47348	
AT1G09027	
AT4G06705	
AT1G04517	
AT3G07715	
AT5G07735	
AT2G06865	
AT1G09867	
AT1G06267	
AT1G05993	
AT5G08495	
AT2G09700	
AT2G35382	
AT1G12013	SNOR111
AT4G06010	
AT1G05137	
AT2G05525	
AT5G02565	
AT5G66562	
AT1G29071	SNOR105
AT1G06547	
AT1G09083	
AT4G08425	
AT5G06115	
AT5G02655	
AT4G08125	
AT5G01135	
AT2G09465	
AT2G09680	
AT1G09787	
AT1G09087	
AT1G05907	
AT1G06553	
AT2G04965	
AT4G08175	
AT1G05853	
AT2G04455	
AT5G09945	
AT4G04185	
AT4G06405	
AT3G08735	
AT5G08810	
AT3G56825	U2.4
AT5G02255	
AT4G07120	
AT5G04085	
AT3G57645	U2.2
AT3G57765	U2.3
AT3G05115	
AT1G08115	
AT3G08945	
AT1G08987	
AT1G05273	
AT1G07827	
AT5G07345	
AT4G03995	
AT3G56705	U2.6
AT1G06877	
AT5G09010	
AT2G04375	
AT3G04905	
AT3G08615	
AT1G09143	
AT1G09237	
AT4G08755	
AT5G04465	
AT5G02245	
AT1G05057	
AT1G04897	
AT1G09947	
AT1G05673	
AT1G61275	U12
AT1G04733	
AT1G07883	
AT3G01715	
AT3G08695	
AT1G04263	
AT5G04105	
AT5G04315	
AT4G07145	
AT5G04455	
AT1G04907	
AT1G09893	
AT5G09585	U2.5
AT1G07537	
AT3G01695	
AT5G06815	
AT1G08367	
AT5G46315	U6-29
AT5G40395	U6acat
AT3G06900	U4.2
AT2G07295	
AT5G09140	
AT5G61455	U2.7
AT4G09135	
AT5G08025	
AT5G07775	
AT1G08737	
AT4G07875	
AT2G06455	
AT1G06873	
AT5G07335	
AT3G08575	
AT4G04615	
AT5G08115	
AT5G07415	
AT3G13855	U6-26
AT4G06375	
AT5G06055	
AT3G14735	U6-1
AT3G07265	
AT3G08605	
AT5G04305	
AT5G01845	
AT3G09005	
AT5G09080	
AT5G07405	
AT3G60805	
AT3G10415	
AT1G28890	
AT5G40545	
AT4G39985	
AT1G56840	
AT2G07752	
AT5G46105	
AT1G72780	
AT5G02815	
ATCG01150	TRNR.3
AT3G52345	
AT1G24080	
AT1G04320	
AT5G02025	
AT1G57090	
AT1G36350	
AT1G49020	
AT3G27555	
AT1G56800	
AT1G57240	
AT3G62285	
AT1G57230	
AT1G11010	
AT1G06610	
AT1G56880	
AT1G57430	
AT1G13850	
AT1G56790	
AT3G55795	
AT2G26090	
AT1G28840	
AT5G55505	
AT1G28750	
AT4G13445	
AT1G29210	
ATCG00110	TRNR.1
AT5G07315	
AT1G57280	
AT1G28940	
AT4G34975	
ATCG01260	TRNL.4
AT3G28695	
AT1G76330	
AT1G12510	
AT3G05525	
AT1G56930	
AT1G06860	
AT5G51055	
AT5G41265	
AT5G65305	
AT2G28770	
AT1G57020	
AT3G11505	
AT5G44375	
ATCG01220	TRNV.3
AT5G65615	
AT3G05755	
AT2G21670	
AT4G36635	
AT1G49460	
AT1G15090	
ATCG00240	TRNY
ATCG01190	TRNA.2
AT4G23915	
AT3G62735	
ATCG00370	TRNS.3
AT5G10525	
AT2G22380	
AT5G05985	
AT5G41675	
AT3G18952	
AT5G61345	
AT5G25625	
AT3G09505	
AT5G54365	
AT4G11405	
AT3G06105	
AT3G62245	
AT5G18005	
AT3G13335	
AT3G07185	
AT2G07756	
AT5G65015	
AT1G01890	
AT2G46120	
AT1G28800	
AT1G05390	
AT3G06335	
AT2G22580	
AT5G40945	
AT2G24380	
AT4G00985	
AT1G20170	
AT2G23020	
AT1G56900	
AT1G80250	
AT5G11325	
AT1G43820	
AT3G45955	
AT2G27850	
AT3G01705	
AT1G57270	
AT1G57050	
AT1G02760	
AT1G16100	
AT1G69000	
AT4G27875	
AT2G07755	
AT3G19235	
AT1G57440	
AT3G60075	
AT1G57490	
AT1G64120	
AT4G17975	
ATCG00290	TRNS.2
AT4G14415	
AT2G33920	
AT5G65445	
AT4G37175	
AT2G33910	
AT1G68860	
AT1G57110	
AT1G54670	
AT2G29520	
AT4G26675	
AT3G44955	
AT1G56860	
ATCG00200	TRNC
AT4G25585	
AT1G63790	
ATCG01030	TRNL.3
AT3G03845	
AT1G64420	
AT1G28810	
AT4G03405	
AT1G03640	
ATMG01160	TRNS.5
AT2G02900	
AT1G28990	
AT2G07761	
AT1G57210	
ATMG09740	
AT3G26747	
AT2G21700	
AT4G23635	
AT1G28790	
ATMG00780	TRNS.4
AT2G30450	
AT5G15175	
AT2G33960	
AT3G28685	
AT2G36280	
AT2G07793	
AT5G02435	
AT5G55045	
AT3G59415	
AT2G39860	
AT4G36197	
AT1G69300	
AT5G13845	
AT4G18815	
AT5G48465	
AT5G59385	
AT5G67455	
AT3G59923	
AT2G47740	
AT2G03790	
AT3G20655	
AT2G28730	
AT1G76000	
AT3G27845	
ATMG09980	
AT2G07758	
AT1G55625	
AT3G52955	
AT1G75970	
AT1G49280	
AT1G56810	
AT4G32765	
AT2G42970	
AT2G05315	
AT3G61715	
AT3G07055	
AT2G42420	
AT2G03490	
AT5G14035	
AT1G26490	
AT1G57180	
AT5G18085	
AT2G23650	
AT2G07745	
AT1G28920	
AT5G03775	
AT3G20885	
AT1G59570	
AT4G14345	
AT1G28720	
AT2G07746	
ATCG00030	TRNK
ATMG00460	TRNI
AT5G38905	
AT4G22265	
AT1G57320	
AT5G60285	
AT5G20854	ATC2
AT4G34415	
AT1G75570	
ATCG00620	TRNP
AT1G57200	
AT5G09975	
AT1G57190	
AT1G68770	
AT1G77040	
AT4G01355	
ATCG00910	TRNV.2
ATCG01140	TRNN.2
AT4G22754	
ATMG09960	
AT2G03660	
AT3G11395	
AT1G20420	
AT1G57530	
AT1G52170	
ATMG00790	TRNY.3
AT2G01160	
AT1G57350	
AT2G45390	
AT2G07762	
AT5G10455	
AT5G18015	
AT1G57070	
ATCG00610	TRNW
AT4G34695	
AT4G03285	
AT1G79300	
AT5G11225	
AT4G39345	
ATCG00450	TRNV.1
AT1G11550	
AT1G57220	
ATMG01070	TRND
AT5G56975	
AT4G29415	
AT4G00085	
AT3G50895	
AT1G45244	
AT3G48275	
AT2G38030	
AT1G11030	
AT1G75070	
AT3G02335	
ATCG00390	TRNT.2
ATCG00320	TRNFM
AT3G27825	
AT1G75650	
AT3G56085	
AT3G59926	
AT2G07757	
AT2G07763	
AT1G77560	
AT2G34950	
AT5G07135	
AT1G45234	
AT1G08950	
AT1G07100	
AT1G57000	
AT4G27395	
AT5G45745	
AT3G15055	
ATMG00930	TRNW
AT5G46595	
AT5G45715	
AT5G02725	
AT1G52860	
AT1G56820	
AT2G07743	
AT1G02600	
AT4G25635	
AT4G24565	
ATCG00100	TRNG.1
AT4G26385	
AT4G16235	
AT5G60966	
AT2G05355	
ATMG09730	
AT1G57040	
ATMG00330	TRNS.2
AT3G04525	
AT3G14855	
AT1G17570	
AT1G57340	
AT5G52355	
AT1G17660	
AT4G11213	
AT2G39600	
AT5G43455	
AT2G22280	
AT2G29030	
AT1G75740	
AT5G59055	
AT2G32110	
ATCG00400	TRNL.1
AT3G03852	
AT1G57520	
AT1G28770	
AT5G20858	
AT3G52565	
AT2G43300	
AT1G57010	
AT1G57460	
ATMG00950	TRNQ
AT3G07115	
AT2G21570	
AT5G02615	
AT1G57450	
AT5G37795	
AT5G01365	
AT5G44705	
ATMG00230	TRNS.1
AT1G28850	
AT1G57130	
AT5G38155	
AT3G21475	
ATCG00930	TRNI.2
AT5G16375	
AT1G28880	
AT2G39610	
AT2G07748	
AT5G52495	
AT2G34985	
AT5G61445	
ATMG00390	TRNY.2
AT4G15775	
AT4G31265	
ATCG00010	TRNH
AT1G60820	
AT5G06125	
AT4G03435	
AT2G44320	
AT2G47100	
ATCG00260	TRNT.1
AT5G50995	
AT4G17612	
AT3G48745	
AT4G01865	
AT1G03570	
AT1G57330	
AT1G06880	
